sku_id,week_start,weekly_sales_units,promotion_days,holiday_days,days_recorded,promotion_active_week,holiday_active_week,category,lead_time_days,unit_cost,selling_price,weekly_revenue,weekly_cogs
SKU_CLEAR,2026-04-27,3,1,0,3,1,0,Decor,7,15.0,29.99,89.97,45.0
SKU_CLEAR,2026-05-04,10,2,0,7,1,0,Decor,7,15.0,29.99,299.9,150.0
SKU_CLEAR,2026-05-11,10,0,0,7,0,0,Decor,7,15.0,29.99,299.9,150.0
SKU_CLEAR,2026-05-18,11,1,0,7,1,0,Decor,7,15.0,29.99,329.89,165.0
SKU_CLEAR,2026-05-25,13,2,1,7,1,1,Decor,7,15.0,29.99,389.87,195.0
SKU_CLEAR,2026-06-01,13,1,0,7,1,0,Decor,7,15.0,29.99,389.87,195.0
SKU_CLEAR,2026-06-08,10,1,0,7,1,0,Decor,7,15.0,29.99,299.9,150.0
SKU_CLEAR,2026-06-15,12,0,0,7,0,0,Decor,7,15.0,29.99,359.88,180.0
SKU_CLEAR,2026-06-22,10,1,0,7,1,0,Decor,7,15.0,29.99,299.9,150.0
SKU_CLEAR,2026-06-29,10,0,1,7,0,1,Decor,7,15.0,29.99,299.9,150.0
SKU_CLEAR,2026-07-06,11,1,0,7,1,0,Decor,7,15.0,29.99,329.89,165.0
SKU_CLEAR,2026-07-13,11,0,0,7,0,0,Decor,7,15.0,29.99,329.89,165.0
SKU_CLEAR,2026-07-20,9,1,0,7,1,0,Decor,7,15.0,29.99,269.91,135.0
SKU_CLEAR,2026-07-27,11,1,0,7,1,0,Decor,7,15.0,29.99,329.89,165.0
SKU_CLEAR,2026-08-03,13,1,0,7,1,0,Decor,7,15.0,29.99,389.87,195.0
SKU_CLEAR,2026-08-10,10,1,0,7,1,0,Decor,7,15.0,29.99,299.9,150.0
SKU_CLEAR,2026-08-17,10,1,0,7,1,0,Decor,7,15.0,29.99,299.9,150.0
SKU_CLEAR,2026-08-24,6,0,0,4,0,0,Decor,7,15.0,29.99,179.94,90.0
SKU_HEALTHY,2026-04-27,25,1,0,3,1,0,Lighting,5,35.0,79.99,1999.75,875.0
SKU_HEALTHY,2026-05-04,57,2,0,7,1,0,Lighting,5,35.0,79.99,4559.43,1995.0
SKU_HEALTHY,2026-05-11,52,0,0,7,0,0,Lighting,5,35.0,79.99,4159.48,1820.0
SKU_HEALTHY,2026-05-18,52,1,0,7,1,0,Lighting,5,35.0,79.99,4159.48,1820.0
SKU_HEALTHY,2026-05-25,55,2,1,7,1,1,Lighting,5,35.0,79.99,4399.45,1925.0
SKU_HEALTHY,2026-06-01,59,1,0,7,1,0,Lighting,5,35.0,79.99,4719.41,2065.0
SKU_HEALTHY,2026-06-08,56,1,0,7,1,0,Lighting,5,35.0,79.99,4479.44,1960.0
