date,sku_id,store_id,sales_units
2026-05-01,SKU_REORDER,STORE01,8
2026-05-01,SKU_CLEAR,STORE01,1
2026-05-01,SKU_WATCH,STORE01,10
2026-05-01,SKU_HEALTHY,STORE01,9
2026-05-02,SKU_REORDER,STORE01,9
2026-05-02,SKU_CLEAR,STORE01,1
2026-05-02,SKU_WATCH,STORE01,21
2026-05-02,SKU_HEALTHY,STORE01,6
2026-05-03,SKU_REORDER,STORE01,13
2026-05-03,SKU_CLEAR,STORE01,1
2026-05-03,SKU_WATCH,STORE01,5
2026-05-03,SKU_HEALTHY,STORE01,10
2026-05-04,SKU_REORDER,STORE01,11
2026-05-04,SKU_CLEAR,STORE01,2
2026-05-04,SKU_WATCH,STORE01,14
2026-05-04,SKU_HEALTHY,STORE01,7
2026-05-05,SKU_REORDER,STORE01,7
2026-05-05,SKU_CLEAR,STORE01,1
2026-05-05,SKU_WATCH,STORE01,11
2026-05-05,SKU_HEALTHY,STORE01,9
2026-05-06,SKU_REORDER,STORE01,10
2026-05-06,SKU_CLEAR,STORE01,1
2026-05-06,SKU_WATCH,STORE01,17
2026-05-06,SKU_HEALTHY,STORE01,7
2026-05-07,SKU_REORDER,STORE01,8
2026-05-07,SKU_CLEAR,STORE01,2
2026-05-07,SKU_WATCH,STORE01,23
2026-05-07,SKU_HEALTHY,STORE01,8
2026-05-08,SKU_REORDER,STORE01,8
2026-05-08,SKU_CLEAR,STORE01,1
2026-05-08,SKU_WATCH,STORE01,17
2026-05-08,SKU_HEALTHY,STORE01,8
2026-05-09,SKU_REORDER,STORE01,11
2026-05-09,SKU_CLEAR,STORE01,1
2026-05-09,SKU_WATCH,STORE01,7
2026-05-09,SKU_HEALTHY,STORE01,7
2026-05-10,SKU_REORDER,STORE01,14
2026-05-10,SKU_CLEAR,STORE01,2
2026-05-10,SKU_WATCH,STORE01,18
2026-05-10,SKU_HEALTHY,STORE01,11
2026-05-11,SKU_REORDER,STORE01,10
2026-05-11,SKU_CLEAR,STORE01,1
2026-05-11,SKU_WATCH,STORE01,17
2026-05-11,SKU_HEALTHY,STORE01,9
2026-05-12,SKU_REORDER,STORE01,9
2026-05-12,SKU_CLEAR,STORE01,2
2026-05-12,SKU_WATCH,STORE01,0
2026-05-12,SKU_HEALTHY,STORE01,8
2026-05-13,SKU_REORDER,STORE01,10
2026-05-13,SKU_CLEAR,STORE01,1
2026-05-13,SKU_WATCH,STORE01,15
2026-05-13,SKU_HEALTHY,STORE01,6
2026-05-14,SKU_REORDER,STORE01,9
2026-05-14,SKU_CLEAR,STORE01,2
2026-05-14,SKU_WATCH,STORE01,26
2026-05-14,SKU_HEALTHY,STORE01,7
2026-05-15,SKU_REORDER,STORE01,8
2026-05-15,SKU_CLEAR,STORE01,1
2026-05-15,SKU_WATCH,STORE01,22
2026-05-15,SKU_HEALTHY,STORE01,8
2026-05-16,SKU_REORDER,STORE01,8
2026-05-16,SKU_CLEAR,STORE01,2
2026-05-16,SKU_WATCH,STORE01,15
2026-05-16,SKU_HEALTHY,STORE01,8
2026-05-17,SKU_REORDER,STORE01,8
2026-05-17,SKU_CLEAR,STORE01,1
2026-05-17,SKU_WATCH,STORE01,11
2026-05-17,SKU_HEALTHY,STORE01,6
2026-05-18,SKU_REORDER,STORE01,10
2026-05-18,SKU_CLEAR,STORE01,2
2026-05-18,SKU_WATCH,STORE01,15
2026-05-18,SKU_HEALTHY,STORE01,7
2026-05-19,SKU_REORDER,STORE01,7
2026-05-19,SKU_CLEAR,STORE01,1
2026-05-19,SKU_WATCH,STORE01,12
2026-05-19,SKU_HEALTHY,STORE01,7
2026-05-20,SKU_REORDER,STORE01,9
2026-05-20,SKU_CLEAR,STORE01,2
2026-05-20,SKU_WATCH,STORE01,30
2026-05-20,SKU_HEALTHY,STORE01,8
2026-05-21,SKU_REORDER,STORE01,10
2026-05-21,SKU_CLEAR,STORE01,1
2026-05-21,SKU_WATCH,STORE01,0
2026-05-21,SKU_HEALTHY,STORE01,7
2026-05-22,SKU_REORDER,STORE01,10
2026-05-22,SKU_CLEAR,STORE01,3
2026-05-22,SKU_WATCH,STORE01,13
2026-05-22,SKU_HEALTHY,STORE01,8
2026-05-23,SKU_REORDER,STORE01,9
2026-05-23,SKU_CLEAR,STORE01,1
2026-05-23,SKU_WATCH,STORE01,24
2026-05-23,SKU_HEALTHY,STORE01,8
2026-05-24,SKU_REORDER,STORE01,14
2026-05-24,SKU_CLEAR,STORE01,1
2026-05-24,SKU_WATCH,STORE01,33
2026-05-24,SKU_HEALTHY,STORE01,7
2026-05-25,SKU_REORDER,STORE01,11
2026-05-25,SKU_CLEAR,STORE01,3
2026-05-25,SKU_WATCH,STORE01,7
2026-05-25,SKU_HEALTHY,STORE01,7
2026-05-26,SKU_REORDER,STORE01,10
2026-05-26,SKU_CLEAR,STORE01,1
2026-05-26,SKU_WATCH,STORE01,2
2026-05-26,SKU_HEALTHY,STORE01,8
2026-05-27,SKU_REORDER,STORE01,7
2026-05-27,SKU_CLEAR,STORE01,2
2026-05-27,SKU_WATCH,STORE01,7
2026-05-27,SKU_HEALTHY,STORE01,9
2026-05-28,SKU_REORDER,STORE01,8
2026-05-28,SKU_CLEAR,STORE01,1
2026-05-28,SKU_WATCH,STORE01,21
2026-05-28,SKU_HEALTHY,STORE01,6
2026-05-29,SKU_REORDER,STORE01,10
2026-05-29,SKU_CLEAR,STORE01,2
2026-05-29,SKU_WATCH,STORE01,2
2026-05-29,SKU_HEALTHY,STORE01,8
2026-05-30,SKU_REORDER,STORE01,13
2026-05-30,SKU_CLEAR,STORE01,2
2026-05-30,SKU_WATCH,STORE01,6
2026-05-30,SKU_HEALTHY,STORE01,7
2026-05-31,SKU_REORDER,STORE01,14
2026-05-31,SKU_CLEAR,STORE01,2
2026-05-31,SKU_WATCH,STORE01,22
2026-05-31,SKU_HEALTHY,STORE01,10
2026-06-01,SKU_REORDER,STORE01,8
2026-06-01,SKU_CLEAR,STORE01,2
2026-06-01,SKU_WATCH,STORE01,17
2026-06-01,SKU_HEALTHY,STORE01,7
2026-06-02,SKU_REORDER,STORE01,13
2026-06-02,SKU_CLEAR,STORE01,2
2026-06-02,SKU_WATCH,STORE01,5
2026-06-02,SKU_HEALTHY,STORE01,8
2026-06-03,SKU_REORDER,STORE01,8
2026-06-03,SKU_CLEAR,STORE01,2
2026-06-03,SKU_WATCH,STORE01,24
2026-06-03,SKU_HEALTHY,STORE01,7
2026-06-04,SKU_REORDER,STORE01,11
2026-06-04,SKU_CLEAR,STORE01,2
2026-06-04,SKU_WATCH,STORE01,21
2026-06-04,SKU_HEALTHY,STORE01,9
2026-06-05,SKU_REORDER,STORE01,9
2026-06-05,SKU_CLEAR,STORE01,1
2026-06-05,SKU_WATCH,STORE01,7
2026-06-05,SKU_HEALTHY,STORE01,7
2026-06-06,SKU_REORDER,STORE01,9
2026-06-06,SKU_CLEAR,STORE01,2
2026-06-06,SKU_WATCH,STORE01,17
2026-06-06,SKU_HEALTHY,STORE01,8
2026-06-07,SKU_REORDER,STORE01,13
2026-06-07,SKU_CLEAR,STORE01,2
2026-06-07,SKU_WATCH,STORE01,15
2026-06-07,SKU_HEALTHY,STORE01,13
2026-06-08,SKU_REORDER,STORE01,11
2026-06-08,SKU_CLEAR,STORE01,1
2026-06-08,SKU_WATCH,STORE01,6
2026-06-08,SKU_HEALTHY,STORE01,8
2026-06-09,SKU_REORDER,STORE01,9
2026-06-09,SKU_CLEAR,STORE01,2
2026-06-09,SKU_WATCH,STORE01,18
2026-06-09,SKU_HEALTHY,STORE01,7
2026-06-10,SKU_REORDER,STORE01,8
2026-06-10,SKU_CLEAR,STORE01,1
2026-06-10,SKU_WATCH,STORE01,11
2026-06-10,SKU_HEALTHY,STORE01,8
2026-06-11,SKU_REORDER,STORE01,10
2026-06-11,SKU_CLEAR,STORE01,1
2026-06-11,SKU_WATCH,STORE01,16
2026-06-11,SKU_HEALTHY,STORE01,8
2026-06-12,SKU_REORDER,STORE01,8
2026-06-12,SKU_CLEAR,STORE01,2
2026-06-12,SKU_WATCH,STORE01,15
2026-06-12,SKU_HEALTHY,STORE01,6
2026-06-13,SKU_REORDER,STORE01,13
2026-06-13,SKU_CLEAR,STORE01,2
2026-06-13,SKU_WATCH,STORE01,29
2026-06-13,SKU_HEALTHY,STORE01,11
2026-06-14,SKU_REORDER,STORE01,7
2026-06-14,SKU_CLEAR,STORE01,1
2026-06-14,SKU_WATCH,STORE01,19
2026-06-14,SKU_HEALTHY,STORE01,8
2026-06-15,SKU_REORDER,STORE01,11
2026-06-15,SKU_CLEAR,STORE01,3
2026-06-15,SKU_WATCH,STORE01,19
2026-06-15,SKU_HEALTHY,STORE01,9
